Country,#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd
Netherlands,20,Overdrive (feat. Norma Jean Martine),Ofenbach,2023-10-06,127,76,61,-4,28,2:36,0,87,20,9521
Netherlands,21,End of Beginning,Djo,2022-09-16,160,45,69,-8,91,2:39,4,98,21,4045
Netherlands,22,Lose Control,Teddy Swims,2023-09-15,160,60,56,-4,24,3:31,20,93,4,6233
Netherlands,23,Hier Mag Alles,Donnie,2023-11-24,140,84,67,-5,78,3:16,3,71,22,1332
Netherlands,24,Prada,cassö,2023-08-11,142,72,64,-6,42,2:12,0,89,23,2846
Netherlands,25,Whatever,Kygo,2024-01-19,108,78,58,-6,60,2:58,11,89,24,4744
Netherlands,26,Tuesday,Jonna Fraser,2024-02-01,95,59,67,-6,46,2:54,37,71,25,342
Netherlands,27,Brommers Kieken,Boer Harm,2024-02-21,102,60,94,-8,75,2:27,16,68,26,9384
Netherlands,28,Training Season,Dua Lipa,2024-02-15,123,58,82,-4,67,3:29,4,91,5,1716
Netherlands,29,Thank You (Not So Bad),Dimitri Vegas & Like Mike,2023-12-01,150,95,67,-5,56,2:20,2,87,27,7645
Netherlands,30,The Door,Teddy Swims,2023-09-15,128,86,73,-5,76,3:33,2,83,45,1276
Netherlands,31,Good To Be,Mark Ambor,2023-10-17,94,73,66,-6,38,2:27,57,77,46,9178
Netherlands,32,Before You Leave Me,Alex Warren,2024-02-16,120,84,70,-5,64,2:56,15,84,28,200
Netherlands,33,greedy,Tate McRae,2023-09-15,111,73,75,-3,84,2:12,26,96,29,8375
Netherlands,34,Houdini,Dua Lipa,2023-11-09,117,79,74,-5,87,3:06,0,92,47,2778
Netherlands,35,When We Were Young (The Logical Song),David Guetta,2023-11-10,140,91,66,-5,50,2:27,5,85,30,2565
Netherlands,36,Blindelings,Antoon,2024-01-18,186,70,57,-7,31,2:41,4,69,31,3162
Netherlands,37,Unwritten,Natasha Bedingfield,2004-08-30,100,80,71,-6,63,4:19,1,92,32,4522
Netherlands,38,Slow It Down,Benson Boone,2024-04-05,181,58,43,-5,54,2:42,17,76,48,9459
Netherlands,39,Another Love,Tom Odell,2013-06-24,123,54,45,-9,13,4:04,70,89,33,779
Netherlands,40,Tonight,Son Mieux,2023-10-12,77,42,54,-11,36,4:33,19,69,34,9443
Netherlands,41,Gata Only,FloyyMenor,2024-02-02,100,50,79,-8,67,3:42,45,95,35,8630
Netherlands,42,Écoutez-moi - NL,Claude,2024-01-19,120,59,88,-7,52,2:39,47,38,36,9328
Netherlands,43,Vois sur ton chemin - Techno Mix,BENNETT,2023-08-04,138,82,63,-3,37,2:58,9,87,37,9615
Netherlands,44,Champions League,FLEMMING,2023-11-10,90,76,68,-6,63,2:22,27,68,49,2519
Netherlands,45,Jump,Tyla,2024-03-22,100,71,71,-3,65,2:27,3,77,38,5910
Netherlands,46,Mwaki,Zerb,2023-11-10,120,64,85,-9,5,3:28,20,73,39,8265
Netherlands,47,Pedro,Jaxomy,2024-03-29,151,94,79,-6,84,2:25,2,70,40,7268
